url,url_len,dom,dom_len,is_ip,tld,tld_len,subdom_cnt,letter_cnt,digit_cnt,special_cnt,eq_cnt,qm_cnt,amp_cnt,dot_cnt,dash_cnt,under_cnt,letter_ratio,digit_ratio,spec_ratio,is_https,slash_cnt,entropy,path_len,query_len,label
https://www.saipem.com/en,25,saipem.com,10,0,com,3,1,19,0,6,0,0,0,2,0,0,0.76,0,0.24,1,3,3.78346519,3,0,0
http://www.bracu.ac.bd/,23,bracu.ac.bd,11,0,ac.bd,5,1,16,0,7,0,0,0,3,0,0,0.695652174,0,0.304347826,0,3,3.555533151,1,0,0
http://www.radiolabs.it/,24,radiolabs.it,12,0,it,2,1,18,0,6,0,0,0,2,0,0,0.75,0,0.25,0,3,3.740601563,1,0,0
http://www.idri.org/,20,idri.org,8,0,org,3,1,14,0,6,0,0,0,2,0,0,0.7,0,0.3,0,3,3.446439345,1,0,0
http://www.cidresearch.org/,27,cidresearch.org,15,0,org,3,1,21,0,6,0,0,0,2,0,0,0.777777778,0,0.222222222,0,3,3.856196298,1,0,0
http://www.jsps.go.jp/,22,jsps.go.jp,10,0,go.jp,5,1,15,0,7,0,0,0,3,0,0,0.681818182,0,0.318181818,0,3,3.322179346,1,0,0
http://www.betatechnology.co.uk/,32,betatechnology.co.uk,20,0,co.uk,5,1,25,0,7,0,0,0,3,0,0,0.78125,0,0.21875,0,3,3.968139062,1,0,0
http://www.ncbr.gov.pl/en/,26,ncbr.gov.pl,11,0,gov.pl,6,1,18,0,8,0,0,0,3,0,0,0.692307692,0,0.307692308,0,4,3.796217603,4,0,0
http://www.oslo-universitetssykehus.no/om-oss/english,53,oslo-universitetssykehus.no,27,0,no,2,1,44,0,9,0,0,0,2,2,0,0.830188679,0,0.169811321,0,4,4.093407427,15,0,0
http://www.nri.org/,19,nri.org,7,0,org,3,1,13,0,6,0,0,0,2,0,0,0.684210526,0,0.315789474,0,3,3.431623566,1,0,0
http://www.urban.org/,21,urban.org,9,0,org,3,1,15,0,6,0,0,0,2,0,0,0.714285714,0,0.285714286,0,3,3.653756708,1,0,0
http://www.immunomedics.com/,28,immunomedics.com,16,0,com,3,1,22,0,6,0,0,0,2,0,0,0.785714286,0,0.214285714,0,3,3.824862958,1,0,0
http://www.scbit.org/scbit_en/pages/,36,scbit.org,9,0,org,3,1,27,0,9,0,0,0,2,0,1,0.75,0,0.25,0,5,3.97216346,16,0,0
http://niabizoo.com/about-the-zoo/zoological-society.aspx,57,niabizoo.com,12,0,com,3,0,47,0,10,0,0,0,2,3,0,0.824561404,0,0.175438596,0,4,4.129493805,38,0,0
http://www.bibra-information.co.uk/,35,bibra-information.co.uk,23,0,co.uk,5,1,27,0,8,0,0,0,3,1,0,0.771428571,0,0.228571429,0,3,4.085588017,1,0,0
http://www.miltenyibiotec.com/en/,33,miltenyibiotec.com,18,0,com,3,1,26,0,7,0,0,0,2,0,0,0.787878788,0,0.212121212,0,4,3.824252831,4,0,0
http://www.uog.edu.et/en/,25,uog.edu.et,10,0,edu.et,6,1,17,0,8,0,0,0,3,0,0,0.68,0,0.32,0,4,3.483074189,4,0,0
http://www.english-heritage.org.uk/,35,english-heritage.org.uk,23,0,org.uk,6,1,27,0,8,0,0,0,3,1,0,0.771428571,0,0.228571429,0,3,4.064019802,1,0,0
http://www.dechema.de/en/,25,dechema.de,10,0,de,2,1,18,0,7,0,0,0,2,0,0,0.72,0,0.28,0,4,3.49366069,4,0,0
